SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022
010,0,0,00,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,0.0187033006,0.1568699672,0.3782782042,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,-0.278181475,-0.330103808,-0.382210688,4,4,4,4,4,4,4,4,4,4
030,1,1,00,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,-0.276081181,0.3135897354,0.0516011876,9,9,9,9,8,5,6,8,4,6
030,1,2,00,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,-0.278928622,-0.559094312,-0.537891274,4,4,4,4,9,8,9,9,8,9
020,2,0,00,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,-0.035505993,-0.180591816,-0.071052416,3,3,3,3,3,3,3,3,3,3
030,2,3,00,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,-0.063107157,-0.331221293,-0.17839238,3,3,3,3,7,7,7,7,7,8
030,2,4,00,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,0.0249758291,0.1491885761,0.1628248502,7,7,7,7,5,6,5,5,6,5
020,3,0,00,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,0.1460017879,0.7081151912,1.0759369654,1,1,1,1,1,1,1,1,1,1
030,3,5,00,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,0.1133910692,0.7580269152,1.1798936399,1,1,1,1,3,1,1,3,3,1
030,3,6,00,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,0.1043380218,0.2667258144,0.5321352596,8,8,8,8,4,4,4,4,5,4
030,3,7,00,West South Central,40774078,40863245,41205309,41685250,89167,342064,479941,0.218685509,0.8370945577,1.1647552503,5,5,5,5,1,2,2,2,2,2
020,4,0,00,West Region,78588565,78650958,78589763,78743364,62393,-61195,153601,0.0793919573,-0.077805791,0.1954465749,2,2,2,2,2,2,2,2,2,2
030,4,8,00,Mountain,24919131,24996513,25268390,25514320,77382,271877,245930,0.3105324981,1.0876597068,0.9732713481,6,6,6,6,2,3,3,1,1,3
030,4,9,00,Pacific,53669434,53654445,53321373,53229044,-14989,-333072,-92329,-0.027928374,-0.620772426,-0.173155706,2,2,2,2,6,9,8,6,9,7
040,3,6,01,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,0.1394407562,0.3673756728,0.4841731807,24,24,24,24,14,17,15,16,21,20
040,4,9,02,Alaska,733378,732923,734182,733583,-455,1259,-599,-0.062041676,0.1717779357,-0.081587399,48,48,48,48,34,32,34,36,29,38
040,4,8,04,Arizona,7151507,7179943,7264877,7359197,28436,84934,94320,0.3976224871,1.1829341821,1.2983014028,14,14,14,14,3,4,5,2,6,8
